"user_id","company","title","industry","location","description","startdate","enddate"
"7574875547185969645","...","assistante maternelle","","","","2008-09-01",""
"-5061932148394508710","-","Commercial Pilot","","","","",""
"-2264441642314636905","-","Self Employed","","-","","2016-04-01",""
"7918502767944928766",".",".","","","","2003-01-01",""
"6005546549920921207","-","Pensionist","","","","2019-03-01",""
"-635387322395689103",".....","freelance boekvertaalster Eng - Ned","","Utrecht","","2002-01-01",""
"4372609682387251400",".","Teacher","","United Kingdom","","2010-09-01",""
"-5934937884971174367","-","Ostéopathe D.O","","France","","2020-06-01",""
"-221471749700115309",".","Construction Engineer/ Contract Manager","","limassol","","2005-11-01","2006-06-01"
"6687364298031128104","-","Animatrice socio-culturale","","","Centro Giovanile Arbedo Castione","2009-09-01",""
"-2927754946400859777","...","R&D","","","","2011-10-01",""
"-2228916608388172335","...","ARCHITETTO","","Italia","Work Experience2005 Present Freelance Architect\, Interior Designer\, Garden Planner2013 Present Freelance consultant in interior design for CEI Lab\, Torino. Seller\, Kitchen designer\, on site surveyor\, installation supervisor. 2008 2013 Freelance consultant as Interior designer\, Kitchen designer\, on site inspector\, survey and installation supervisor2003 Present Set assistant\, Stylist\, location & client seekers for Adriano Bacchella\, Photographer1999 2003 Interior Designer and Seller of high end modular kitchens\, furniture and built-in appliances EducationShort Refresh Courses in:March 2015 Texiles and fabrics in furniture designFebruary 2014 Resins in flooringOctober 2013 Design and application of wallpapersSeptember 2012 Wooden furnitures restorationFebruary 2011 Iron and stainless steel in furniture designMarch 2010 Leather and fabrics in furniture upholsteryNovember 2009 Marbles and stones in interior design September 2009 Home Staging2008 Official registration at Italian Architecture Board (equivalent part III in UK )\, 1st degree Feng Shui operator at Ordine Architetti Torino\" .2005 Degree in Architecture at Politecnico di Torino\, Facoltà di Architettura Specialization in conservation of cultural heritage .1989 Diploma in Graphic and Advertising.","2005-10-01",""
"-2199613685254658566","...","مهندس","","","","",""
"-7824302250744140001","..","Freelance Graphic Designer","","London\, United Kingdom","Multiple branding missions and brand identity\, stationary development and social media design .","2015-05-01","2016-01-01"
"-7446980064685349655",".","Professeur particulier privé","","Région de Lyon\, France","Je donne des cours particuliers en histoire-géographie\, biologie\, mathématiques\, physique\, chimie et français\, de la sixième jusqu'en terminale.","2011-05-01",""
"4382317937232651090","....","musicienne intervenante","","La fleche","interventions scolaires Eveil musical Atelier parents / enfants Interventions en structure petite enfance","2009-09-01",""
"-6797823700909274422","____","?_?","","","","",""
"-1162422788268916297","-","Wedding Coordinator - MC","","Hungary","","2016-06-01",""
"-348237787781776535",".",".","","","","",""
"-8803304984269228327",".","Interim Manager | Project Management | Quality Management | Six Sigma","","","","2019-08-01",""
"-22809062921813790","********","Addetto\, consulente vendite","","Roma","Servizio incordatura\, rapporti con le aziende\, contabilità e strategie commerciali di marketing","2010-05-01","2012-02-01"
"-6086161124411260773","---","Juristin in Karenz","","","","2019-07-01",""
"-3580675668677428517","-","Fachinformatiker","","","","2012-01-01","2012-07-01"
"-6704623658465501018",".","Personalwesen","","Stuttgart und Umgebung\, Deutschland","","2018-03-01","2018-05-01"
"-8918771772655069612","***","********","","","","",""
"-8623644059119510564",".","Familymanager / Auszeit","","","","2015-12-01","2016-06-01"
"-7525776245601498420","-","Diamond Broker","","Antwerp Area\, Belgium","","1983-03-01","1998-12-01"
"-5501232301339295840","-","Maternity leave","","","","2014-01-01","2015-01-01"
"801774653844231574",".",".","","","","2015-11-01","2015-11-01"
"7270915477238749780",".","Construction Manager","","Kilis\, Turkey","","2018-08-01",""
"7074593953686865613",".","Gesellschafter","","","","2008-01-01",""
"2248465315702277555",".","Marketing","","","","",""
"-2928217351509699703",".","Sr. Metrology Engineer","","Austin\, Texas","","2015-01-01",""
"3137168426864774175","-","-","","","","",""
"-137797261587947871","-","Advisor & Mentor to C-suites","","","","2015-01-01",""
"-1996619804705707093","-","Child Care Specialist","","London\, England\, United Kingdom","","1998-01-01","2003-01-01"
"2874218524390698574",".","Senior Manager / Leader","","","","2017-01-01",""
